target,method,seed,split_id,n_te,n_pos,n_events,auc,ap,prevalence,lift,brier,brier_skill,auc_within_athlete,n_athletes_with_both,auc_between_athlete,n_athletes_test,thr_calibrated,f1_calibrated,precision_calibrated,recall_calibrated,f1_oracle,event_detection_rate,event_detection_ci
G2_3,Transformer,2026,,2388,23,23,0.6208107362809082,0.016796446541568207,0.009631490787269681,1.7439093191854296,0.05479905488737404,-4.744903422256928,0.6777907683590303,4,0.0,5,0.24976335096796717,0.02834008097165992,0.014861995753715499,0.30434782608695654,0.05555555555555555,0.30434782608695654,"(np.float64(0.15603828020972454), np.float64(0.5086612906057261))"
G3_2,AthleteRate,2026,,2874,36,36,0.5,0.012526096033402923,0.012526096033402923,1.0,0.046522907909997684,-2.761191865319866,0.5,4,0.375,5,0.19733333333333333,0.024742268041237112,0.012526096033402923,1.0,0.024742268041237112,1.0,"(np.float64(0.9035781695514236), 1.0)"
G2_1,DANN,2026,,2001,25,25,0.4811133603238867,0.012822223594015508,0.01249375312343828,1.0262907764650013,0.11077889469756533,-7.978923181132515,0.4912992451336721,4,1.0,5,0.41289979219436646,0.014285714285714285,0.007594936708860759,0.12,0.026330224904004388,0.12,"(np.float64(0.04166741357068093), np.float64(0.2995619218337349))"
G1_2,Transformer,2026,,2245,43,43,0.5759880024502038,0.02300083236826854,0.01915367483296214,1.2008574108549503,0.0696708146734861,-2.708495952144316,0.4906343247225815,4,1.0,5,0.2908929598507406,0.03278688524590164,0.017977528089887642,0.18604651162790697,0.04765450483991065,0.18604651162790697,"(np.float64(0.0974163558010598), np.float64(0.3261729323530596))"
G3_2,ProtoNet,2026,,2874,36,36,0.5064501605199279,0.047158952789435465,0.012526096033402923,3.764856397689931,0.281923214008522,-21.792369325345067,0.5814719711574212,4,0.25,5,0.6296049098968506,0.02321724709784411,0.012345679012345678,0.19444444444444445,0.09090909090909091,0.19444444444444445,"(np.float64(0.09752972019453349), np.float64(0.350283620635152))"
G1_0,ours,42,,2240,42,42,0.6539494778803241,0.04401867262323214,0.01875,2.3476625399057145,0.17500407750783842,-8.511898904884635,0.590673995612776,5,1.0,6,0.5012398362159729,0.06597938144329897,0.03611738148984198,0.38095238095238093,0.096,0.38095238095238093,"(np.float64(0.24999520898785943), np.float64(0.5318623178000363))"
G2_1,ProtoNet,42,,3023,53,53,0.6877707896575821,0.04778317217583558,0.017532252729077075,2.725443952595301,0.2081954969949516,-11.086910532734755,0.6542124968858908,4,0.0,5,0.5728410978277191,0.0732824427480916,0.03986710963455149,0.4528301886792453,0.10762331838565023,0.4528301886792453,"(np.float64(0.3265736816014746), np.float64(0.585462573535608))"
G3_4,LSTM,123,,1602,50,50,0.6218041237113403,0.05008247796812025,0.031210986267166042,1.604642594098573,0.08697284891212313,-1.8763848883952123,0.6660983638758421,4,,4,0.30272973349616045,0.08196721311475409,0.04746835443037975,0.3,0.08333333333333333,0.3,"(np.float64(0.1910338908960936), np.float64(0.4375061227736339))"
G3_2,DANN,123,,2599,30,30,0.4804852731283249,0.01995023752952181,0.011542901115813775,1.7283555779742394,0.11014224616918053,-8.653418380249473,0.5122930086402675,4,0.0,5,0.4126465618610382,0.026970954356846474,0.013918629550321198,0.43333333333333335,0.058823529411764705,0.43333333333333335,"(np.float64(0.2737723743061511), np.float64(0.6080299045459127))"
G3_3,GAT,123,,1378,15,15,0.580533137686476,0.043371499531203526,0.01088534107402032,3.984395090266564,0.07613417484938013,-6.071164904607009,0.6159232915489835,4,,4,0.29080030918121336,0.02768166089965398,0.014598540145985401,0.26666666666666666,0.13333333333333333,0.26666666666666666,"(np.float64(0.1089727610318281), np.float64(0.5195088965768675))"
G3_3,GAT,42,,3455,54,54,0.6629749420105198,0.03103351040320486,0.015629522431259046,1.9855699711680144,0.0676508387685326,-3.397125865219069,0.6688124422353221,4,,4,0.2718869646390279,0.05714285714285714,0.030837004405286344,0.3888888888888889,0.07258064516129033,0.3888888888888889,"(np.float64(0.2704174250997505), np.float64(0.5221194341849167))"
G2_3,Transformer,123,,2954,53,53,0.6136400590557584,0.04699381783414215,0.01794177386594448,2.6192403373972817,0.078122376651284,-3.4337666312513955,0.5872333669415717,4,1.0,5,0.3039521293507682,0.050314465408805034,0.0274442538593482,0.3018867924528302,0.058394160583941604,0.3018867924528302,"(np.float64(0.19518140287607166), np.float64(0.43537086869967556))"
G2_0,ours,2026,,3908,57,57,0.5314591334217131,0.01568869687164448,0.01458546571136131,1.075639076743625,0.23572337048569464,-15.400737514983266,0.5062384619865588,5,1.0,6,0.5051279664039612,0.026378896882494004,0.014157014157014158,0.19298245614035087,0.03418803418803419,0.19298245614035087,"(np.float64(0.11132633377760481), np.float64(0.3134093733701362))"
G2_0,GAT,123,,2139,30,30,0.6230757072862336,0.019312017781636083,0.014025245441795231,1.3769468678306527,0.07454837921344981,-4.390908249269172,0.5190493647824146,5,0.8,6,0.29857086103557823,0.03508771929824561,0.018779342723004695,0.26666666666666666,0.04540540540540541,0.26666666666666666,"(np.float64(0.14182495553910618), np.float64(0.4444830204431169))"
G2_1,GAT,2026,,2001,25,25,0.6030566801619432,0.016644733303349757,0.01249375312343828,1.3322444536001146,0.06441401958669161,-4.220927102006735,0.5950775714156962,4,0.75,5,0.2688227597706271,0.0380952380952381,0.020253164556962026,0.32,0.04,0.32,"(np.float64(0.17204987516891143), np.float64(0.5159008626542329))"
G1_4,ours,2026,,3348,28,28,0.6373493975903615,0.01273263287744962,0.008363201911589008,1.5224591026321903,0.2244527843792974,-26.064485834736658,0.6731471150219048,4,,4,0.5471177697181702,0.028985507246376812,0.015105740181268883,0.35714285714285715,0.03131115459882583,0.35714285714285715,"(np.float64(0.20705611972458876), np.float64(0.5417002241777278))"
G2_4,DANN,42,,3194,56,56,0.4879928070654648,0.016273435159523474,0.017532874139010644,0.9281669982056782,0.1026199674333088,-4.957454441446273,0.46847277604002907,4,,4,0.4044863283634186,0.020289855072463767,0.011041009463722398,0.125,0.03732162458836443,0.125,"(np.float64(0.06188990138969254), np.float64(0.23625720697639396))"
G3_2,XGBoost,123,,2599,30,30,0.5194239003503308,0.017962903901795634,0.011542901115813775,1.556186241358895,0.09617854648003671,-7.429569766989731,0.5914632055521696,4,0.0,5,0.38735857373402727,0.025688073394495414,0.013592233009708738,0.23333333333333334,0.057971014492753624,0.23333333333333334,"(np.float64(0.11792239210501232), np.float64(0.40928672330324267))"
G1_2,XGBoost,42,,3050,49,49,0.5138559255758284,0.024995067175745372,0.016065573770491802,1.555815405837212,0.12448598208384054,-6.875135827750793,0.5405091227929284,4,0.5,5,0.44232635576879814,0.030349013657056147,0.01639344262295082,0.20408163265306123,0.04395604395604396,0.20408163265306123,"(np.float64(0.11481727042813811), np.float64(0.33637270110943834))"
G1_2,AthleteRate,123,,3403,54,54,0.5,0.015868351454598882,0.015868351454598882,1.0,0.04903499922536919,-2.1399386568929284,0.5,4,0.375,5,0.1986754966887417,0.031240960370263235,0.015868351454598882,1.0,0.031240960370263235,1.0,"(np.float64(0.9335841332189981), 1.0)"
G1_0,GAT,2026,,4415,41,41,0.6457782684822733,0.020517901728281687,0.00928652321630804,2.209427710496674,0.06485880622846227,-6.049652850193428,0.5886742107435556,5,1.0,6,0.27351975608162765,0.023939064200217627,0.012528473804100227,0.2682926829268293,0.07407407407407407,0.2682926829268293,"(np.float64(0.15694805281336685), np.float64(0.41933825276002934))"
G2_2,XGBoost,42,,1867,14,14,0.5699252177935394,0.00947505883676928,0.007498660953401178,1.2635667748748747,0.11553647894606676,-14.524024121541757,0.518662516474158,4,0.75,5,0.4227646982975794,0.020887728459530026,0.01084010840108401,0.2857142857142857,0.023064250411861616,0.2857142857142857,"(np.float64(0.11721187910109099), np.float64(0.5464954117248438))"
G2_2,ours,123,,1751,19,19,0.669897897167862,0.017829670028794112,0.010850942318675044,1.643144853706236,0.21867283963195522,-19.373500212240614,0.7231210555929528,4,0.5,5,0.5161102414131165,0.02717391304347826,0.014326647564469915,0.2631578947368421,0.03680981595092025,0.2631578947368421,"(np.float64(0.11806238339540162), np.float64(0.48791968441070643))"
