target,method,seed,split_id,n_te,n_pos,n_events,auc,ap,prevalence,lift,brier,brier_skill,auc_within_athlete,n_athletes_with_both,auc_between_athlete,n_athletes_test,thr_calibrated,f1_calibrated,precision_calibrated,recall_calibrated,f1_oracle,event_detection_rate,event_detection_ci
G1,XGBoost,1,19a7caa542,14455,136,136,0.5407264309453093,0.013738347786241386,0.009408509166378415,1.460204538603818,0.0913763143601361,-8.804337018798153,0.5384731657657766,20,0.69,25,0.37080362597833316,0.023255813953488372,0.012178148921363952,0.25735294117647056,0.0392156862745098,0.25735294117647056,"(np.float64(0.1912535360043331), np.float64(0.3367839006382682))"
G1,Transformer,3,b459cef7c3,14405,136,136,0.6634214236539103,0.015460836048307478,0.009441166261714682,1.6375981123225678,0.06122038905756402,-5.546213480844162,0.6575628289434879,20,0.74,25,0.27016945409569837,0.03058103975535168,0.016031350195938723,0.33088235294117646,0.03338549817423057,0.33088235294117646,"(np.float64(0.257402273981231), np.float64(0.41365412125452133))"
G2,ours,2026,17bf4c202c,12482,130,130,0.5858169963132722,0.012594904138077841,0.010414997596539017,1.2093045650114431,0.22644467229960327,-20.971000219430074,0.6167959865731706,21,0.7261904761904762,25,0.5619829297065735,0.02442868400315209,0.01287375415282392,0.23846153846153847,0.026439232409381664,0.23846153846153847,"(np.float64(0.17338273546709032), np.float64(0.31855400169086356))"
G2,AthleteRate,6,2e7b8e7c1c,12411,130,130,0.554507275152988,0.012199585468451016,0.010474579002497784,1.1646850403765043,0.2581528020722972,-23.90653490227605,0.5,19,0.47368421052631576,25,1.0,0.020316027088036117,0.010680379746835443,0.2076923076923077,0.028330319469559977,0.2076923076923077,"(np.float64(0.14684660487829596), np.float64(0.2853179837100054))"
G3,ours,123,13c93d0783,13066,123,123,0.5897631830370689,0.014041299550489363,0.009413745599265269,1.4915741457454796,0.20910042388105687,-21.423332576245784,0.58276739189388,20,0.43749999999999994,24,0.5216366052627563,0.02629601803155522,0.013784954706577392,0.2845528455284553,0.02613962384443736,0.2845528455284553,"(np.float64(0.21228461225470585), np.float64(0.3698713996530595))"
G1,Transformer,2,d950a5e090,14463,136,136,0.6873049753858408,0.01930052708233108,0.00940330498513448,2.052525905821724,0.05718022986387525,-5.138588197300508,0.6640913037638445,21,0.6785714285714286,25,0.27866365169656687,0.0337609723160027,0.017692852087756547,0.36764705882352944,0.05221339387060159,0.36764705882352944,"(np.float64(0.2912843697911778), np.float64(0.45128150474115014))"
G2,LSTM,123,148765553e,12469,130,130,0.6170949522153023,0.013436365683466582,0.0104258561231855,1.2887541823626523,0.06793867261967215,-5.585018368654684,0.605839921707472,20,0.69,25,0.2911363954727466,0.022943037974683545,0.012093411175979984,0.2230769230769231,0.03008595988538682,0.2230769230769231,"(np.float64(0.16004839200095863), np.float64(0.302002270872169))"
G3,AthleteRate,123,13c93d0783,13066,123,123,0.6225985229797442,0.013574829825601476,0.009413745599265269,1.442022166677308,0.1862588316797242,-18.97386543029292,0.5,20,0.75,24,0.4166666666666667,0.03478904515173945,0.018224117875145406,0.3821138211382114,0.035463365674138506,0.3821138211382114,"(np.float64(0.30104673808099086), np.float64(0.4703216457930694))"
G1,XGBoost,0,d0ac34feb2,14386,136,136,0.5584574303405573,0.013050368710027415,0.009453635478937857,1.3804603254592234,0.0939532875333972,-9.033173453166217,0.5527896253433449,21,0.6071428571428572,25,0.383281109084814,0.023688663282571912,0.012415750266051791,0.25735294117647056,0.027906976744186046,0.25735294117647056,"(np.float64(0.1912535360043331), np.float64(0.3367839006382682))"
G3,DANN,2026,17e3da1cb7,13018,123,123,0.5809669721357934,0.01278354291358633,0.009448455984022124,1.352976923976153,0.1021891121636608,-9.918593624820616,0.5400599721995114,19,0.5578947368421052,24,0.4268091022968292,0.027642883825177437,0.014487079091620987,0.3008130081300813,0.03246433841613379,0.3008130081300813,"(np.float64(0.22680566759840015), np.float64(0.38688573963708106))"
G2,Transformer,2026,17bf4c202c,12482,130,130,0.6207714726982861,0.0144127821959572,0.010414997596539017,1.3838488259225983,0.06758577497554068,-5.5575712677986315,0.6123305238417824,21,0.5952380952380952,25,0.28125646294755113,0.026792750197005517,0.014119601328903655,0.26153846153846155,0.0316622691292876,0.26153846153846155,"(np.float64(0.19361426783893437), np.float64(0.3431515807462589))"
G1,XGBoost,2,d950a5e090,14463,136,136,0.5802123407470058,0.012919497884016501,0.00940330498513448,1.3739316021803725,0.09353871401042448,-9.041856200683426,0.5725651108327521,21,0.5714285714285714,25,0.3859851057034761,0.025658338960162053,0.013446567586694975,0.27941176470588236,0.030441400304414,0.27941176470588236,"(np.float64(0.2108540606742771), np.float64(0.3600890635462695))"
G1,Transformer,0,d0ac34feb2,14386,136,136,0.6375562435500516,0.014735993058741763,0.009453635478937857,1.5587646775224926,0.05470228328371652,-4.8415997021356985,0.6060750167097951,21,0.7380952380952381,25,0.26796506744640364,0.02910321489001692,0.015253636041149344,0.3161764705882353,0.03586206896551724,0.3161764705882353,"(np.float64(0.24399293204164996), np.float64(0.3984596714754721))"
G2,AthleteRate,5,81b3995edf,12520,130,130,0.5147730800273174,0.010603078369411977,0.010383386581469648,1.0211580091156767,0.3586374169434838,-33.90194236099698,0.5,19,0.6228070175438596,25,1.0,0.017183770883054894,0.008866995073891626,0.27692307692307694,0.02550941048374553,0.27692307692307694,"(np.float64(0.2072450335350356), np.float64(0.35940688933498394))"
