target,method,seed,split_id,n_te,n_pos,n_events,auc,ap,prevalence,lift,brier,brier_skill,auc_within_athlete,n_athletes_with_both,auc_between_athlete,n_athletes_test,thr_calibrated,f1_calibrated,precision_calibrated,recall_calibrated,f1_oracle,event_detection_rate,event_detection_ci
TeamA-2021,XGBoost,1,ba4234893b,9493,48,6,0.78106802541027,0.015310044602731708,0.005056357315916991,3.027880279452752,0.04210288992126938,-7.36904048455232,0.5639232631172211,3,0.7777777777777778,27,0.17904502631765878,0.033877038895859475,0.017464424320827943,0.5625,0.04696132596685083,0.8333333333333334,"(np.float64(0.43649056343635395), np.float64(0.9699474141282697))"
TeamA-2020,DANN,2,95939cfe81,8607,317,19,0.685720700323068,0.09977552762985993,0.036830486813059136,2.70904721233503,0.03765843213560211,-0.06157833779493127,0.4785643334440047,10,0.8529411764705883,27,0.03758714348077774,0.1029263370332997,0.06126126126126126,0.3217665615141956,0.14983164983164984,0.6842105263157895,"(np.float64(0.4601001017506463), np.float64(0.846358289955714))"
TeamB-2020,ours,1,39b560e891,7963,26,2,0.675061300045551,0.005076805608887474,0.003265101092553058,1.5548693485988827,0.13918390365383493,-41.76738694937281,0.6853318707183232,2,0.6428571428571429,23,0.4163585305213928,0.009776536312849162,0.004978662873399715,0.2692307692307692,0.012027491408934709,0.5,"(np.float64(0.09452865480086614), np.float64(0.9054713451991339))"
TeamA-2020,GAT,123,212169e9ea,8385,331,19,0.7323564429526677,0.11180003298921865,0.0394752534287418,2.8321549142434996,0.050903462960255046,-0.34249860536873755,0.6733406291825165,10,0.776470588235294,27,0.21073501633875297,0.16760347470618292,0.1008610086100861,0.4954682779456193,0.17452006980802792,0.7368421052631579,"(np.float64(0.5120803155892935), np.float64(0.8819376166045982))"
TeamA-2020,ours,5,19bb482a1d,8389,345,19,0.6353177091215705,0.06594230533084378,0.041125283108833,1.6034492736824593,0.13831674630161672,-2.5075510131421535,0.44513287036880506,8,0.7171052631578947,27,0.52241051197052,0.12062848454130766,0.07309582309582309,0.34492753623188405,0.14224137931034483,0.42105263157894735,"(np.float64(0.2314162039203038), np.float64(0.6372444853483988))"
TeamB-2020,DANN,6,39b560e891,7963,26,2,0.8108178831373993,0.024848101247438123,0.003265101092553058,7.610208855128837,0.05659435953241134,-16.389890711028873,0.664574142067133,2,0.7380952380952381,23,0.28778883814811707,0.025938566552901023,0.01320361362056984,0.7307692307692307,0.08547008547008547,0.5,"(np.float64(0.09452865480086614), np.float64(0.9054713451991339))"
TeamA-2020,AthleteRate,5,19bb482a1d,8389,345,19,0.647801403872902,0.06286096590017765,0.041125283108833,1.5285236027147544,0.10341546136445766,-1.6224952218907616,0.5,8,0.5921052631578947,27,0.19402985074626866,0.11343385880740232,0.060280458932799125,0.9594202898550724,0.11343385880740232,0.8947368421052632,"(np.float64(0.686054495051583), np.float64(0.9706420586049034))"
TeamA-2021,LSTM,1,ba4234893b,9493,48,6,0.7080289394741485,0.010274673400826297,0.005056357315916991,2.0320307207092507,0.023379870812181014,-3.6473552223288044,0.5093499582042839,3,0.7222222222222222,27,0.10255453787570759,0.03136762860727729,0.016170763260025874,0.5208333333333334,0.03233830845771144,0.8333333333333334,"(np.float64(0.43649056343635395), np.float64(0.9699474141282697))"
TeamA-2021,LSTM,0,8f006546e9,9512,48,6,0.7555451359537898,0.015103269471141085,0.005046257359125316,2.992964566864458,0.03053876004520587,-5.082457930384404,0.5343553412793484,4,0.8695652173913044,27,0.05990844964981083,0.027678113787801127,0.01418812401471361,0.5625,0.047337278106508875,0.8333333333333334,"(np.float64(0.43649056343635395), np.float64(0.9699474141282697))"
TeamA-2020,AthleteRate,4,bf43aa8c3c,7401,229,19,0.765865617625068,0.14795203573645674,0.030941764626401837,4.781628892949853,0.07994369465375264,-1.6661787384369986,0.5,8,0.6381578947368421,27,0.19973190348525469,0.1077119184193754,0.058095565486421454,0.7379912663755459,0.2908545727136432,0.6842105263157895,"(np.float64(0.4601001017506463), np.float64(0.846358289955714))"
