cohort,target,method,seed,n_folds,n_te,n_pos,n_events,n_athletes,auc,ap,auc_within_athlete,n_athletes_with_both,auc_between_athlete,f1_calibrated,event_detection_rate
runners,G2,Transformer,2026,5,13396,195,195,25,0.6039140391462186,0.019115793968301705,0.6128132817937618,21,0.41666666666666663,0.03237156931738212,0.2358974358974359
runners,G3,AthleteRate,2026,5,13955,184,184,24,0.5535987724676621,0.015291788853029281,0.5,21,0.5634920634920635,0.03421656582516169,0.44565217391304346
runners,G2,DANN,2026,5,13396,195,195,25,0.5633836985931524,0.0186464395510827,0.541813058447395,21,0.5714285714285714,0.03166783954961295,0.23076923076923078
runners,G1,Transformer,2026,5,15415,204,204,25,0.6395513566678397,0.019756980099646215,0.6307282177715502,21,0.7261904761904762,0.03868590727663494,0.3088235294117647
runners,G3,ProtoNet,2026,5,13955,184,184,24,0.6470564323894258,0.02829211936911533,0.604642813875515,21,0.4285714285714286,0.049474754320569296,0.3967391304347826
runners,G1,ours,42,5,15415,204,204,25,0.6521641330255066,0.022948187643142222,0.6311237337016656,21,0.6428571428571428,0.04706601466992665,0.37745098039215685
runners,G2,ProtoNet,42,5,13396,195,195,25,0.5851819695089144,0.023454012136324018,0.5548688666520778,21,0.6547619047619048,0.03854239663629993,0.28205128205128205
runners,G3,LSTM,123,5,13955,184,184,24,0.6324609371300117,0.02244685418615481,0.6100924352053824,21,0.39682539682539686,0.044008124576844956,0.3532608695652174
runners,G3,DANN,123,5,13955,184,184,24,0.579249320405515,0.0189086341733586,0.5516931765391435,21,0.41269841269841273,0.037914691943127965,0.30434782608695654
runners,G3,GAT,123,5,13955,184,184,24,0.6007605380557125,0.019849871008324495,0.6107439594817434,21,0.634920634920635,0.03182125930941097,0.2554347826086957
runners,G3,GAT,42,5,13955,184,184,24,0.6067314583576703,0.0233367827659601,0.6171958414404614,21,0.5079365079365079,0.03654822335025381,0.29347826086956524
runners,G2,Transformer,123,5,13396,195,195,25,0.622974755214737,0.021783822496523414,0.5984462255388114,21,0.7142857142857143,0.039901995099754985,0.2923076923076923
runners,G2,ours,2026,5,13396,195,195,25,0.5819034688514273,0.017616385529258212,0.5914840650544904,21,0.5714285714285714,0.030260380014074596,0.2205128205128205
runners,G2,GAT,123,5,13396,195,195,25,0.6203014923111885,0.020616682062284786,0.6171762263005723,21,0.6904761904761905,0.04130206510325516,0.30256410256410254
runners,G2,GAT,2026,5,13396,195,195,25,0.6372568900180444,0.02306519880082945,0.6227860795052511,21,0.8095238095238095,0.048557353976073185,0.35384615384615387
runners,G1,ours,2026,5,15415,204,204,25,0.6356785466142278,0.025610073216443204,0.6271408003435996,21,0.6666666666666667,0.042984341418483264,0.3431372549019608
runners,G2,DANN,42,5,13396,195,195,25,0.5548029578178809,0.016897060543591663,0.5373756436361818,21,0.42857142857142855,0.039943938332165384,0.2923076923076923
runners,G3,XGBoost,123,5,13955,184,184,24,0.5570701505684599,0.020255096258786826,0.531753060946237,21,0.39682539682539686,0.02979011509817197,0.2391304347826087
runners,G1,XGBoost,42,5,15415,204,204,25,0.5691327612499211,0.018341246218852383,0.5675384231409288,21,0.5714285714285714,0.03361858190709047,0.2696078431372549
runners,G1,AthleteRate,123,5,15415,204,204,25,0.5395745274639999,0.014350984404830354,0.5,21,0.5238095238095237,0.026794258373205742,0.3431372549019608
runners,G1,GAT,2026,5,15415,204,204,25,0.6649327241250849,0.03403802848449086,0.62838585990219,21,0.7261904761904762,0.048510899600859685,0.3872549019607843
runners,G2,XGBoost,42,5,13396,195,195,25,0.5846911364523666,0.01811127726875022,0.5825428366260424,21,0.7261904761904762,0.039943938332165384,0.2923076923076923
runners,G2,ours,123,5,13396,195,195,25,0.5918005434708715,0.017767527823342684,0.6040280258551202,21,0.6309523809523809,0.03290164508225411,0.24102564102564103
runners,G3,LSTM,42,5,13955,184,184,24,0.6083059311786267,0.01972233770188981,0.6002845089923613,21,0.41269841269841273,0.04196277495769882,0.33695652173913043
runners,G1,ours,123,5,15415,204,204,25,0.6526386670636962,0.022638183023926704,0.6303732240086813,21,0.7142857142857143,0.049601959583588484,0.39705882352941174
runners,G1,ProtoNet,42,5,15415,204,204,25,0.6368752747302326,0.02178312353095132,0.6267338561505196,21,0.6428571428571428,0.044009779951100246,0.35294117647058826
runners,G2,LSTM,42,5,13396,195,195,25,0.6147246032254743,0.018725868282422863,0.5980932851249421,21,0.6190476190476191,0.035739313244569026,0.26153846153846155
runners,G2,AthleteRate,42,5,13396,195,195,25,0.5245818595716332,0.015250856148699459,0.5,21,0.40476190476190477,0.030802292263610316,0.441025641025641
runners,G3,Transformer,42,5,13955,184,184,24,0.6437632406474855,0.023148426176677304,0.6180126148612916,21,0.46031746031746035,0.048730964467005075,0.391304347826087
runners,G2,LSTM,2026,5,13396,195,195,25,0.6216314226389221,0.021392841629804156,0.5820330411004084,21,0.6190476190476191,0.0422237860661506,0.3076923076923077
runners,G2,LSTM,123,5,13396,195,195,25,0.5991037974978586,0.02374385700718455,0.5931489739484692,21,0.6904761904761905,0.028701435071753587,0.21025641025641026
runners,G1,ProtoNet,2026,5,15415,204,204,25,0.5601074299945473,0.015800245096322225,0.5684461473427245,21,0.7738095238095237,0.032545287073994476,0.25980392156862747
runners,G3,DANN,42,5,13955,184,184,24,0.5788088863490701,0.016724946071922292,0.5594798409832059,21,0.2380952380952381,0.03654822335025381,0.29347826086956524
runners,G3,Transformer,123,5,13955,184,184,24,0.5916527090641015,0.017513584627224875,0.6123871716054874,21,0.46031746031746035,0.02843601895734597,0.22826086956521738
runners,G3,XGBoost,42,5,13955,184,184,24,0.5271064271799908,0.01767441027484434,0.5066565358261088,21,0.380952380952381,0.026395939086294416,0.21195652173913043
runners,G2,AthleteRate,2026,5,13396,195,195,25,0.4648082215993738,0.013986347832870543,0.5,21,0.4285714285714286,0.0277845478917865,0.2923076923076923
runners,G1,LSTM,123,5,15415,204,204,25,0.6541320393781074,0.022233912092982415,0.6330003133929271,21,0.6666666666666666,0.041641151255358236,0.3333333333333333
runners,G1,DANN,123,5,15415,204,204,25,0.6381553081425853,0.021072118444105153,0.6068084005333749,21,0.7380952380952381,0.04225352112676056,0.3382352941176471
runners,G1,Transformer,42,5,15415,204,204,25,0.6136741857350395,0.019654762147723256,0.6428735370295726,21,0.6428571428571429,0.03850855745721271,0.3088235294117647
runners,G1,GAT,42,5,15415,204,204,25,0.6433229757618648,0.028814201591873822,0.6385844933533977,21,0.7023809523809523,0.04339853300733496,0.3480392156862745
runners,G3,ProtoNet,42,5,13955,184,184,24,0.6168511806474223,0.018659307348838104,0.6240834998753336,21,0.4920634920634921,0.03722504230118443,0.29891304347826086
runners,G1,AthleteRate,42,5,15415,204,204,25,0.4714617324150092,0.01339553382920456,0.5,21,0.494047619047619,0.025735294117647058,0.3431372549019608
runners,G1,LSTM,2026,5,15415,204,204,25,0.6431594266790932,0.021514286229230288,0.6188528811620672,21,0.6904761904761905,0.04237027939821922,0.3382352941176471
runners,G3,LSTM,2026,5,13955,184,184,24,0.6050014917927719,0.018066398162001947,0.6074515494676824,21,0.4444444444444445,0.03524229074889868,0.2826086956521739
