cohort,target,method,seed,n_folds,n_te,n_pos,n_events,n_athletes,auc,ap,auc_within_athlete,n_athletes_with_both,auc_between_athlete,f1_calibrated,event_detection_rate
soccermon,TeamA-2020,GAT,2026,5,9531,427,28,27,0.6973801052012034,0.10012264183319798,0.706963364190896,11,0.7045454545454545,0.18932874354561102,0.6785714285714286
soccermon,TeamB-2020,DANN,42,3,5295,35,3,15,0.7627702335687127,0.03653078733418718,0.7040096549167333,3,0.7777777777777777,0.04664723032069971,1.0
soccermon,TeamA-2020,AthleteRate,123,5,9531,427,28,27,0.39039714894860533,0.04005672105742859,0.5,11,0.49999999999999994,0.01718473591104372,0.14285714285714285
soccermon,TeamA-2021,ours,42,4,8234,62,8,23,0.6711252427644356,0.011601589881383687,0.5681919657021562,4,0.6710526315789473,0.021804966686856452,0.5
soccermon,TeamA-2020,XGBoost,42,5,9531,427,28,27,0.6974176623601124,0.0964400081280739,0.5746987414906439,11,0.8181818181818181,0.15470562956596476,0.5357142857142857
soccermon,TeamB-2020,ProtoNet,2026,3,5295,35,3,15,0.8793481803367735,0.04499673788706286,0.8828064493983631,3,0.8333333333333334,0.04187604690117253,1.0
soccermon,TeamA-2021,AthleteRate,2026,4,8234,62,8,23,0.4187429933841757,0.006386663791756019,0.5,4,0.5065789473684211,0.006334841628959276,0.125
soccermon,TeamA-2020,ours,42,5,9531,427,28,27,0.75204866584624,0.11179234369899413,0.5417845727641225,11,0.8238636363636364,0.16931671680275032,0.6071428571428571
soccermon,TeamA-2020,DANN,2026,5,9531,427,28,27,0.6359792952013269,0.0776596856305276,0.5724934196239021,11,0.8068181818181819,0.1316695352839931,0.5
soccermon,TeamA-2020,Transformer,2026,5,9531,427,28,27,0.6850901680502793,0.06798020806416208,0.6448401497525424,11,0.6931818181818181,0.11703958691910499,0.42857142857142855
soccermon,TeamA-2021,DANN,123,4,8234,62,8,23,0.768977073563545,0.04089284923697649,0.5678929509504133,4,0.763157894736842,0.04659498207885305,0.625
soccermon,TeamA-2020,ProtoNet,2026,5,9531,427,28,27,0.7848337504064404,0.14445962431653123,0.5991806304548286,11,0.8181818181818181,0.19104991394148021,0.6428571428571429
soccermon,TeamB-2020,GAT,42,3,5295,35,3,15,0.9058500814774579,0.23298442862009544,0.9544520497537371,3,0.861111111111111,0.05053449951409135,1.0
soccermon,TeamA-2020,ours,2026,5,9531,427,28,27,0.7704947615480546,0.1591500021187235,0.586622675110713,11,0.8465909090909091,0.1368330464716007,0.5357142857142857
soccermon,TeamA-2021,XGBoost,42,4,8234,62,8,23,0.6631929641734957,0.014071790077233842,0.5702339048833167,4,0.6842105263157895,0.03270745003028468,0.625
soccermon,TeamB-2020,GAT,123,3,5295,35,3,15,0.7806029331884845,0.050706366714526135,0.7401680632359615,3,0.8333333333333333,0.04364326375711575,1.0
soccermon,TeamA-2021,AthleteRate,123,4,8234,62,8,23,0.4261621113795336,0.006460250624218325,0.5,4,0.5197368421052632,0.00755939524838013,0.125
soccermon,TeamA-2020,GAT,42,5,9531,427,28,27,0.6053326535316077,0.07251950736288104,0.6109575719269554,11,0.6818181818181818,0.12720240653201548,0.6071428571428571
soccermon,TeamA-2020,LSTM,123,5,9531,427,28,27,0.5426390798187378,0.04963061686506842,0.5159827687104612,11,0.6875,0.08082545141874463,0.35714285714285715
